id,text
158,i iat un ok ia ong Obama e iu iam i i u iong u iong ing e ah ua au e ik iong
159,ua uann e ut ai ua ia e ok un i o it iam o o
160,ui a e o uainn ah
161,ah i o au oo i iau oo honnh
162,ia ing ui ng oh ia in ing iann u i ia iunn ah ueh ai iong e ang m ang ak ue ang in
163,D o ai i un un u e un iah party i iong i uat iu party ai in i u ah ue e ing ak ut
164,ng ik inn e ian uan o i ai a o ai uai ok oo inn e e iu ui it ing ian ian
165,iau iu ah o e ia ue ing ik
166,un iann ing XX Caryl e am e ai oo un i ing
167,iong iap oo am ik o u i ong ing ik iap iu ut u i u ai uai i iann ing ann ai
168,ak ue a i u iann iok ui e liooh un ong iok im ian iok ah i iok un ong ann ui ui a o o
169,ah in e ua oo ui i i ong ioh ua e eh
170,i ai oo ang ai u un iam ah it a e o iann ang uan
171,u i ue e i ak ueh e i ing ak ing iap i
172,iann iann ok oh i an e
173,m ian uah iap penn
174,a eh
175,oh ann o i ioh un
176,am ak i ai a e u am oh a iu iu uan ai uai ok e uan in m i o iann ih ai i
177,e i ik ioh ang e i u
178,ai ang ai i un ak ueh an e it ah ong i i
179,i iann oo a e uai uai am i i uai ioh
180,i oh ia ong ng o ai i uan e ai it i uan ui au ing iu oh ong ue u iann
181,ai an e ah
182,am ak a i a ing i iann ih uan ang eh iah e
183,i ing i ai i u ui ong i e i ua ang ing a u iau iong e e ui ue
184,au e ah m ang ah
185,i a i i a in ua i ai i ue
186,ah it ia iunn ong iok ui e
187,i G e im a am e ang a i ann G e iu i a ai in
188,S at in un ang am e ing un a G mail Bouie in ui in u i ai i i
189,iong ue it inn uah i e au ing it uann i i ong ong at i ia e u u i o ng ut an it it ang
190,ak i ai ong iong
191,oo ui ah ai a
192,ing iong i ang ue o ah uann e iah ng uan i a ue ian auh
193,o un ah
194,i am u ing ang a ua au iau ai it e an i iong u i e e a i o it iang
195,eh iong ing un ah ang oo ong e i un i iong ia e i u au ut it u an iah o e ong e ing un u m oh ong ing i e ang o ing a o iau a ng
196,ann ai u uai uan i ann ong e ong oo at un uan ing
197,inn i ua uann a ah it ia oo a ah o
198,i eh oo a i un ian ong ong e ap it iam mue a ah it e a u ang
199,uah iann ioh un i ai ing iang ui i ing ang iann un ing u au o inn inn
200,ip i
201,ng ai ah
202,Putin ik ua ui ong e ok ik i it i o ing i a i iang ak ok a e uan ik
203,in eh in eh a a uah oh i ah
204,ian oh ian an ah i e i inn i o ainn ua ah
205,i ia uann e ang iah i am am oo oo inn inn ng ng
206,ua u uann ioh
207,eh ah ong ak inn iah am ioh iu uat ian in OPEC e ui ut o
208,it e i i ang e HTTT i iong HTTT ah i ak oo ong uh o e
209,in iunn an o oo un e ong ai am ue u un ing ai i it e u
210,i i it e in au it e ian inn ang
211,o a i phianThree m e ai ue oo it ai u au o iong e ah a un ong i u u iau honnh e ang ui ua ia e ui e a ng i u uann ai
212,i a ing ua e iong im ng i o ui o ai i ang o e i i am e ang i it e ang e i
213,ak e iah ue ua ai ann au ut ing ua iann an i ing i iu iok uan e ing i ok un
214,iann ng e e o it u e ong uat an ai i e an e ong
215,e ai io inn ah i e saih
216,u a i uann eh iok ui iok oo ui e iunn ong eh ang eh i it u ah au in a i ui o e u ai e
217,it e ooh
218,i it e o e e
219,a i ang eh eh i i
220,ann
221,it un oo an eh ai iah iu i e iau a
222,au e ua a u iah an SS e ua a ing e lueh
223,ai an e o ai o i o a ang phng
224,i ai iah ian iau ai i ing au iat im ong ong ui oh ik e oo iam im oo ian iau
225,mh
226,e i iunn eh i ah
227,ue ut u ah ua m ai o oh ik it ioh i honnh oo ue a iann e i an e a in
228,in a it e ing un o honnh am e ai iann i e ua a it ua ong ong an ai i in e ui a o o
229,a ian iong an o u inn ua ui i au oo
230,u iah ong ng ai u ia e ang i ia ng oo eh mong
231,an e iu ai u e o un e oo un o ing u un e
232,au iah a o oh ui ue a inn iau eh o ik iau u e iu iap ok u iong im am ak an e uat u
233,i a e ann iap inn a a iah ia oh i a iah oh a o o ong ua ah ua u ut i au ann m at iah ue iah i ang e inn a eh
234,i o o e PTT ing ia it un oo ua inn ang it e o o
235,a ui eh a ang oo ua ann ap au ng a
236,ua iong i uat ing it iann ai i
237,ian e i it ui ang iam i uah uann iam i uah uah am e i ioh a a i a
238,ai iong in a i it ing ann e ioh am ing iu
239,e ai a u ang ah ian ue ai ong iann ih it o ueh i iam ai u JCB u iau ue it ing oo o ang o ang
240,an in ai iah ng ah
241,iu oo ua oh in ui ue ah o o
242,an ing ia o o i iann u it oo uann m oh iong o ong i ok ue a e e
243,iong iong u it e ang a i ioh ing in i ak iu ia im uann ioh it e in iunn iok ai e a oo ang iann ua iann a uah
244,un e ut inn un a oo iann a u an it uann i eh iong iann ih ai ue ua
245,i am iau oh u i ann e ong uat ai oo ong iu uat
246,iam iann iah ah ang ang io
247,i it it ng ng eh au i am ong o iann e
248,ak e ong au ah an ai i ing ia iunn iunn ia
249,iann i ok Iran iann ua a u i o a i i ok ue in ah Iran ai ian uan e i ing in i it u
250,i eh ui uann oo ong eh o am
251,iang i au eh it i ian i ai a ing a iap oo ui
252,hennh i u ang eh ue i m
253,i iu ng ik i ai un ua a i ong ui ap
254,ah ua oh ai iau oo ang eh ah honnh
255,ua oo i ong lueh ah
256,ang e a ai ing o it e uan ang iong o ong
257,i ing iann ut i an eh ing a
258,a ak a ah e uai
259,ah i a ng o io ua i e it ua iau ua i uan u ah
260,uan o a i e ai i o o an o ai iau uan at ang e ing a ai
261,a i a B iann iann ing ui ut ian m oh a au iah e iap B i ua e u i au ing a o ing e iap a i ua e u
262,eh au ong iah i o ong ian
263,an i ai ak iah i ok ap i u u ioh ai ah e i eh
264,iu un ian ai an i ut ak inn u in ang ing e oo i au iu
265,u ai e ang ue ap ap ih ih ak ang ong ai ua o a o e iau
266,iu ong i ai ua un e u iau oo a ai i i ai uan iong ok ing oo ai ian ip
267,iu ai eh it iunn ue ua a ak ak ai a ok ok i
268,iam iam
269,au ai u i ing it ui ah ai ah ian ue io ai u ai uann
270,uann ai i ian iann inn
271,in e ut uan oh ah ai u an iah e ng a e ut uan ue ap ui ia ue un ing o ing iau e
272,ah ong i iu a iong ui e i un ong iong it eh oo o it ue o ua o i
273,ing am ua iah ah i ian ok
274,ia o uan ing in ah
275,eh
276,honnh ai ai ai an io ia an io ia
277,it uann ng ing ing
278,iann ong in a ang oo u a ah au ua
279,ua it a iam i eh a iunn eh e u u ing iah ai e ah
280,e ah ia ong a ing ing i ai
281,ang oh ua iap e inn a ooh it iap it ak in ng iap ng ak in ann iap iah ian inn ooh uah e iann i in it ua iann oo ang e u i
282,ue ai uan in ing u ui ah i ak uan iau ue it ah CC e ik e ong ai o iau u ai ah o a ah i ak e ui im in e iann u ong an iau e saih ai a i ing u ing
283,ng e ang iah i o uah iann au ue o ua o ai in iunn at un ue ing un a e iah i oh
284,oo a u iu o ut iu iu ioh e i iau iau a iann
285,i ah un ai iann m ioh ah ah
286,it e u iann im e a i oh a in ing e ing u it ai ak a iau au eh uat au a u a iunn in e ang uan ing a ik ui u ah it
287,a im eh a m o ah ah in a oo iann ui inn a ang ing uah oh ai
288,ui ioh iau oo i iunn ua at ui ak ik uan e iau ui u i oo ang it i a o ui iau i o it iau e ai iau
289,it ang ai ai e u am eh ong iam eh ong i in au in ang
290,au iunn iann ih ai i
291,ann ap ue i au o o iann siooh m ian iah ng a hiooh
292,i ing iann ut i an e ing a
293,io it a i ah CR au ing ann ap it ah oo ah it ing ann ing oo ing e iong ong u oo e oo iong iat ut ai an o ah uan o un ui ng ai o un it e u oo i i ah CR ng e ong e io ong u ut ian
294,eh i i uann ai
295,o uann e ai ue im
296,un un eh
297,i it o ah u am u uainn u ah u i au ut ai
298,in ui iann i o o ai uah ing ioh ang ng oo oo ua iau ia e ia au ap oh it e in iam iong
299,io iann ih ia
300,i uann ui u ooh iah au ui e it a ing ui iah at ai i ua ui an a u au ai ah ah
301,an i ai ui eh ue ong
302,o un u o i ua i ing it ui o ing uann
303,ue ai it i a ah
304,ai e ai e
305,in un e iann ai ueh ok ia oo ong u ing m i ut i o iann o u ing i ong au iok o u ing e it u ue e i am ap un
306,ooh oo ah it e ua ng honnh oh a ing ah uan eh
307,o i au a i uat io iau ue ng ang ioh ai ui ai iam a oo
308,a ui am oo a ai ok i e i ing a
309,aih ioh
310,eh eh
311,i iok au ah ang au ue
312,un im uan oo enn iong inn uan inn a o u it ing ann ap i iunn o ah au iam
313,i ioh ai un un oo a
314,m ang ah i
315,un iunn i an an e eh oo a uan iong
316,in ng e i ia i i ut ut i eh ong siannh
317,i iann ih i un eh ng i ai ak
318,P of AB uan io i P of a ing P of B oo i i of AB i u oo
319,eh ah i iah a ua ai ia ah ah in e io o ioh a au ah
320,a mah o eh iann i
321,ong ing un ap uat ua oh ai uann o iu
322,a a a iunn eh a iunn eh a
323,ian a ah i un a ong ah a iong ai uann e i
324,it e ah i it e
325,ua e im
326,i ioh a ng iah oo iau
327,i ai au oo io e a ai
328,a ah ai ah ah au ai m ann ah
329,ua uann ioh i a
330,oh a in e iam eh ong
331,uann ing ong ah u eh ong ong iann ih ong uann o
332,e ai e ai ua iau e iah ioh eh u ang o uann i eh ua iann uah
333,e ang io au e ian u ah iong u ia
334,o ah inn a i ing iah iau ah in a it o au iah ui i looh an ing i an e a ak e ong
335,i iong i e ua iann ah ian a i iau e uan ut a ing an am ing ok uan at ut i
336,i ap i inn in o am in o eh au e uann i it a a e am ong
337,it iang ue a
338,iau at a i e u iunn u i ah i ong it ua io ue
339,in au e ian ue ong ua e oo i i e e iann ng e
340,io ai e u u un ai u in e ang ai iau ui ong a oo ah m ai im a oo uan uan au
341,a u ua ia m i ann ue in a a e e ong i m
342,iok e ang eh ioh a ak a e i iann ih i un o ann
343,ua e ing uann ah
344,o iu ok ue at i i ong it i i iau uai ong ing un ak uat ua e i e an ing ai u ah ng oo
345,ai iunn ua
346,ua ai ai i oo i iah iah i ong ong
